Country/Region,Date,Cases,Deaths,Recovered
Switzerland,2020-08-13,37403,1991,32700
Syria,2020-08-13,1432,55,395
Taiwan*,2020-08-13,481,7,450
Tajikistan,2020-08-13,7950,63,6741
Tanzania,2020-08-13,509,21,183
Thailand,2020-08-13,3359,58,3169
Timor-Leste,2020-08-13,25,0,24
Togo,2020-08-13,1104,26,791
Trinidad and Tobago,2020-08-13,404,8,139
Tunisia,2020-08-13,1847,53,1302
Turkey,2020-08-13,245635,5912,228057
US,2020-08-13,5248854,167110,1774648
Uganda,2020-08-13,1353,11,1141
Ukraine,2020-08-13,88136,2023,47678
United Arab Emirates,2020-08-13,63489,358,57372
United Kingdom,2020-08-13,316729,46791,1479
Uruguay,2020-08-13,1409,37,1180
Uzbekistan,2020-08-13,33323,216,27213
Venezuela,2020-08-13,30369,259,21385
Vietnam,2020-08-13,911,21,425
West Bank and Gaza,2020-08-13,15491,106,9186
Western Sahara,2020-08-13,10,1,8
Yemen,2020-08-13,1847,528,949
Zambia,2020-08-13,8663,246,7401
Zimbabwe,2020-08-13,4990,128,1927
