Date,Cases,Deaths,Recovered
2020-01-22,555,17,28
2020-01-23,654,18,30
2020-01-24,941,26,36
2020-01-25,1434,42,39
2020-01-26,2118,56,52
2020-01-27,2927,82,61
2020-01-28,5578,131,107
2020-01-29,6166,133,126
2020-01-30,8234,171,143
2020-01-31,9927,213,222
2020-02-01,12038,259,284
2020-02-02,16787,362,472
2020-02-03,19887,426,623
2020-02-04,23898,492,852
2020-02-05,27643,564,1124
2020-02-06,30802,634,1487
2020-02-07,34395,719,2011
2020-02-08,37129,806,2616
2020-02-09,40159,906,3244
2020-02-10,42768,1013,3946
2020-02-11,44810,1113,4683
2020-02-12,45228,1118,5150
2020-02-13,60381,1371,6295
2020-02-14,66908,1523,8058
2020-02-15,69050,1666,9395
2020-02-16,71234,1770,10865
2020-02-17,73269,1868,12583
2020-02-18,75151,2008,14352
2020-02-19,75651,2123,16121
2020-02-20,76211,2248,18177
2020-02-21,76840,2252,18890
2020-02-22,78601,2459,22886
2020-02-23,78981,2470,23394
2020-02-24,79545,2630,25227
2020-02-25,80398,2710,27905
2020-02-26,81375,2771,30384
2020-02-27,82739,2814,33277
2020-02-28,84116,2873,36711
2020-02-29,86011,2942,39782
2020-03-01,88395,2996,42716
2020-03-02,90369,3085,45602
2020-03-03,92947,3160,48228
2020-03-04,95246,3255,51170
2020-03-05,98037,3348,53796
2020-03-06,101980,3460,55865
2020-03-07,106018,3559,58359
2020-03-08,109972,3803,60694
2020-03-09,113872,3987,62493
2020-03-10,118896,4266,64404
2020-03-11,126559,4611,67002
2020-03-12,132309,4916,68324
2020-03-13,146716,5413,70251
2020-03-14,157824,5830,72622
2020-03-15,168973,6471,76032
2020-03-16,183640,7151,78086
2020-03-17,199487,7956,80838
2020-03-18,219083,8855,83321
2020-03-19,247002,9962,84958
2020-03-20,276612,11442,87403
2020-03-21,308921,13149,91670
2020-03-22,342341,14850,97885
2020-03-23,384508,16772,98351
2020-03-24,425675,19047,107992
2020-03-25,476494,21828,113775
2020-03-26,539391,24843,122145
